T-Rex,Tyrannosaurus,M,China,143
Stego,Stegosaurus,M,India,379
Veloci,Velociraptor,M,Indonesia,117
Tricy,Triceratops,M,UK,405
Spino,Spinosaurus,F,South Africa,102
Brachio,Brachiosaurus,M,Mexico,112
Ankylo,Ankylosaurus,M,Japan,64
Pachy,Pachycephalosaurus,M,Turkey,183
Irritator,Irritator,M,Russia,468
Carnotaurus,Carnotaurus,M,Brazil,82
Allo,Allosaurus,F,Germany,422
Diplodocus,Diplodocus,F,USA,461
Compsognathus,Compsognathus,M,Russia,87
Struthi,Struthiomimus,M,Italy,112
Iguanodon,Iguanodon,F,Australia,93
Parasauro,Parasaurolophus,F,Spain,77
Corytho,Corythosaurus,M,Russia,169
Oviraptor,Oviraptor,M,Canada,173
Gallimimus,Gallimimus,F,Egypt,58
Therizino,Therizinosaurus,M,Argentina,350
